Claim_ID,Customer_Age,Claim_Amount,Claim_History,Policy_Type,Incident_Severity,Claim_Frequency,Fraud_Label,Claim_Description,Gender,Marital Status,Occupation,Income Level,Education Level,Location,Behavioral Data,Purchase History,Policy Start Date,Policy Renewal Date,Interactions with Customer Service,Insurance Products Owned,Coverage Amount,Premium Amount,Deductible,Policy Type,Customer Preferences,Preferred Communication Channel,Driving Record,Life Events
C100010,42.0,11293.0,0.0,2,1,1.0,1.0,"Yourself skin law such baby professional. Remember forward create.
Also avoid yourself raise least lay upon issue. Win first need town word huge. Accident looks suspicious and documents seem tampered.",1,4,0,62099,4,78717,1,3/20/2022,4/22/2020,8/5/2024,2,0,898873,2935,1756,0,1,4,3,2
C100011,30.0,35441.0,2.0,0,2,9.0,0.0,Organization partner keep action. Plan hair summer range west no. Accident report and documentation verified.,0,1,4,110698,0,50991,3,5/10/2021,6/12/2023,12/19/2023,0,4,777280,4517,1417,0,1,4,3,3
C100013,43.0,45617.0,3.0,1,0,3.0,1.0,Page side expert activity management. Identify out ready. Memory food beautiful miss animal. Accident looks suspicious and documents seem tampered.,0,4,3,24648,3,91662,2,12/28/2018,4/27/2018,11/3/2024,4,2,276109,3971,897,3,1,1,1,0
C100014,72.0,29172.0,2.0,2,0,6.0,0.0,"Reveal decision small because drop.
Already public face. Continue television hand use radio notice above specific. Run maybe develop address. Accident report and documentation verified.",1,3,1,105009,3,87843,2,9/5/2020,8/4/2022,7/19/2024,4,0,399139,2760,1599,3,1,0,3,4
C100015,55.0,21132.0,3.0,1,1,9.0,0.0,"Amount main school nor important. Very together together group appear. Next area day.
Might trade school same. Smile town audience. Accident report and documentation verified.",1,3,2,29783,1,94065,0,8/6/2021,10/11/2021,8/25/2024,0,1,807659,2334,1699,2,1,0,4,3
C100016,59.0,19199.0,3.0,1,0,4.0,1.0,Myself simple police area article speech increase improve. Book owner mouth wide still once. Mention reveal market may live. Accident looks suspicious and documents seem tampered.,0,1,0,114236,1,16098,2,11/16/2018,3/23/2023,8/9/2023,3,4,667081,4634,467,2,2,2,1,1
C100017,43.0,37609.0,1.0,2,1,9.0,1.0,Although blue against. Big candidate safe box church. Officer hard need simply name film these themselves. Accident looks suspicious and documents seem tampered.,0,0,8,107359,1,56853,1,10/15/2023,4/5/2021,11/20/2023,1,0,963585,2802,213,0,4,1,2,2
C100018,22.0,43965.0,4.0,1,0,5.0,0.0,Law example debate box before some beat. Bit culture care nice. Accident report and documentation verified.,1,0,5,49224,0,83708,4,10/26/2020,6/11/2018,8/26/2023,0,2,869812,4342,143,2,2,2,2,4
C100019,41.0,9016.0,0.0,0,1,7.0,0.0,Bit eat which rich spring. Fish sell clear ready. Accident report and documentation verified.,1,0,3,117264,0,83476,3,7/11/2019,1/3/2021,7/19/2023,1,0,777902,1843,818,2,4,2,4,1
C100020,72.0,40779.0,4.0,1,0,3.0,0.0,Five first oil first group support friend sport. Player cell discover executive make plant accept. Material black window whole daughter sport every. Accident report and documentation verified.,1,0,4,73889,1,66570,3,8/28/2018,8/27/2022,12/13/2023,2,3,202342,4476,381,0,0,0,3,0
C100021,21.0,38261.0,2.0,2,2,3.0,0.0,Dream billion performance. Candidate area bank capital represent west science item. Lot find car energy technology different national. Accident report and documentation verified.,1,3,3,51844,0,11356,1,10/20/2021,9/19/2018,11/28/2024,2,4,739884,1167,1612,3,0,0,1,4
C100022,43.0,32881.0,4.0,0,2,3.0,0.0,Exactly second generation although. Represent natural generation price. High you enough special explain inside research. Accident report and documentation verified.,1,1,4,103753,1,75336,0,11/17/2023,8/6/2022,6/14/2023,0,0,993093,4395,1935,0,3,0,1,4
C100023,63.0,18058.0,2.0,0,0,8.0,0.0,"Boy others early change thus. Report back college reduce. Job view help big.
Several hit role analysis lose likely imagine. Accident report and documentation verified.",0,2,1,117504,3,51509,0,11/1/2023,6/7/2022,9/12/2023,0,1,183174,1650,1712,2,0,2,3,1
C100024,49.0,25472.0,2.0,0,1,6.0,1.0,It raise enjoy. Control us score seat. Candidate myself offer arm hour sit. Accident looks suspicious and documents seem tampered.,1,1,4,27364,1,38109,2,12/25/2022,2/17/2022,11/25/2023,0,1,854840,996,1735,2,0,2,1,3
C100031,77.0,32128.0,3.0,1,1,4.0,0.0,Security side instead between television imagine. Manager city fish inside evening within poor floor. Accident report and documentation verified.,0,3,2,107642,2,72634,0,12/8/2022,3/16/2020,1/5/2024,2,0,263967,4482,857,1,3,4,2,0
C100032,41.0,2401.0,2.0,0,1,3.0,0.0,Design condition sound these recent protect. Site civil campaign light chance campaign. Suddenly relate often head it. Accident report and documentation verified.,1,0,3,53299,4,19020,2,10/28/2019,7/4/2018,2/8/2023,2,0,894822,2755,314,3,0,3,1,1
C100033,63.0,20643.0,0.0,1,0,9.0,0.0,Consider detail Republican daughter. Fish bag cultural century. Experience play company laugh dark market. Accident report and documentation verified.,1,1,1,121335,0,82875,2,4/6/2018,12/4/2018,1/8/2024,1,3,140842,1368,186,3,3,0,4,0
C100034,44.0,16193.0,1.0,0,0,2.0,0.0,Support expect want tend detail. Yet new their commercial. Accident report and documentation verified.,1,1,7,36781,0,21866,4,8/19/2023,10/26/2022,1/2/2024,1,4,86986,3712,1321,2,4,2,3,0
C100038,61.0,37982.0,1.0,2,1,4.0,0.0,Enjoy feeling could old hospital thousand by. Since pick sort improve memory. Certain part environment officer others. Accident report and documentation verified.,1,0,8,118108,0,64233,2,1/6/2022,6/22/2021,12/20/2023,3,4,173302,1759,1150,1,4,1,3,1
C100039,47.0,20611.0,4.0,0,0,6.0,0.0,Environment sport with anything large news deep. Accident report and documentation verified.,0,4,4,73907,3,71005,1,3/23/2019,9/20/2023,11/3/2024,2,2,272019,4176,1787,1,0,1,2,2
C100040,79.0,44791.0,4.0,2,1,1.0,1.0,Indeed artist still poor listen beyond big. Stand scientist teach any early minute interview. Accident looks suspicious and documents seem tampered.,0,0,1,66966,1,36673,1,1/22/2020,11/16/2018,1/11/2024,4,2,709925,4518,1450,1,0,0,2,3
C100047,71.0,33245.0,3.0,0,2,7.0,0.0,Such the impact nation administration when. Would save put away close. Character spend nation generation senior break billion. Accident report and documentation verified.,1,2,2,72860,2,16718,4,10/8/2021,12/18/2021,11/16/2024,3,0,268755,1023,180,1,4,2,3,3
C100048,76.0,45724.0,4.0,1,1,5.0,0.0,"Serve at realize through. Article choose long figure heavy quality sea.
Walk father chair require pattern could. More event nothing. Accident report and documentation verified.",1,3,6,123454,2,71809,1,8/21/2023,10/22/2018,11/18/2024,3,4,291168,642,1143,2,3,1,2,0
C100049,22.0,6818.0,3.0,0,1,6.0,0.0,Mind story defense let consider. Affect personal real. Accident report and documentation verified.,1,2,4,116983,4,72306,1,6/7/2021,8/16/2019,3/7/2023,3,4,672130,2281,1090,2,4,2,2,0
C100050,56.0,49861.0,1.0,2,1,9.0,0.0,Step walk social behind reason consumer. Well network green him form recognize oil. Mind attack together friend. Accident report and documentation verified.,0,2,8,146348,0,83233,4,1/27/2018,2/11/2020,7/15/2023,4,0,381066,4728,796,1,2,2,1,2
C100051,70.0,31116.0,0.0,2,1,1.0,0.0,Expert way per organization phone seat tend. Concern party center senior unit home should. Customer news age main. Accident report and documentation verified.,1,1,1,66068,4,20878,2,6/4/2019,8/13/2021,6/6/2024,2,0,506799,3258,1284,1,3,2,0,2
C100052,26.0,16493.0,1.0,2,0,9.0,0.0,Fast night area remain new rise policy. Newspaper statement leader rule these. Human fight little responsibility. Thing strategy employee also. Accident report and documentation verified.,1,3,7,63683,3,81210,1,3/24/2020,1/22/2020,1/20/2023,0,1,811300,2211,565,1,2,1,2,0
C100053,40.0,29038.0,0.0,2,2,6.0,0.0,Necessary difference out receive. Fire deep stay fight early current medical consider. Make letter for town onto determine share. Accident report and documentation verified.,1,0,7,41328,0,72521,3,2/1/2022,12/16/2022,5/7/2024,0,0,412935,3169,1287,1,2,4,1,2
C100059,79.0,5025.0,0.0,0,0,5.0,0.0,College investment eight cost last. Tell others yes available finally. Accident report and documentation verified.,1,2,1,40098,1,33724,2,2/24/2019,4/14/2020,8/24/2024,2,0,959874,2440,158,2,1,2,1,2
C100060,33.0,21093.0,2.0,2,1,2.0,1.0,Civil hot reveal relationship even investment. Decade general treat beyond your enter kind production. Accident looks suspicious and documents seem tampered.,0,2,6,65337,4,18377,2,1/11/2020,7/15/2020,9/24/2024,2,4,860404,3701,1797,1,1,3,0,4
C100061,69.0,7155.0,4.0,2,1,8.0,0.0,Both they range thing name direction. Wonder concern you fact season. Accident report and documentation verified.,1,2,2,28356,3,27894,2,9/7/2020,5/26/2023,9/9/2024,3,3,474860,3224,1237,2,4,4,4,0
C100062,77.0,47607.0,4.0,0,2,7.0,0.0,Church different once remain toward. Performance save crime less discover close almost. Interesting dream image both want. Accident report and documentation verified.,0,4,5,104907,1,82610,2,5/22/2023,1/10/2022,3/28/2024,0,2,536474,1727,1946,2,3,3,3,3
C100063,28.0,34487.0,2.0,2,1,9.0,0.0,Compare total worker ok goal season. Across policy health method certainly may glass. Moment hold person ten. Accident report and documentation verified.,1,2,6,138557,4,82736,3,2/5/2019,2/8/2020,1/4/2024,1,1,76379,4042,989,2,1,3,4,0
C100064,45.0,48658.0,3.0,0,0,4.0,0.0,"Fear prevent process voice. Task truth return husband politics year student.
Tough staff us training. None piece four education require others. Accident report and documentation verified.",1,0,2,125748,1,77939,2,12/25/2019,12/19/2021,4/23/2024,3,2,195071,3452,1596,0,2,2,3,2
C100065,72.0,21963.0,0.0,2,2,9.0,0.0,Fill win stand somebody day idea different. Hair police wait current close. Accident report and documentation verified.,1,0,6,99954,2,79833,1,6/8/2022,8/13/2020,8/6/2023,0,3,870289,5000,1743,2,2,3,1,2
C100066,21.0,21936.0,0.0,1,0,4.0,1.0,Style note military about whole. Have space reality issue rock. Imagine billion our run I. Accident looks suspicious and documents seem tampered.,0,0,2,71646,3,28202,2,10/22/2020,6/25/2022,6/7/2023,4,0,229680,4251,1993,3,0,1,3,4
C100078,55.0,29572.0,4.0,0,2,1.0,1.0,Military great pull anyone. From attention treat hour debate pay manage product. Born scene where air television modern minute. Accident looks suspicious and documents seem tampered.,0,1,8,118942,3,62071,2,12/12/2019,10/3/2018,6/27/2023,4,2,417647,4389,1512,0,2,1,0,0
C100079,69.0,42448.0,0.0,1,1,2.0,0.0,"Best drug four others industry per leave car. Keep skill government value also. Southern every information follow turn recognize.
Front do open. Accident report and documentation verified.",0,2,6,39956,3,23938,1,1/24/2022,2/20/2020,1/9/2024,1,0,825768,3179,623,3,0,0,4,0
C100080,59.0,3204.0,1.0,1,2,1.0,0.0,Night performance picture week gas coach class. Child budget individual in people probably. Laugh find reach door production personal series near. Accident report and documentation verified.,0,0,2,99408,1,31160,1,4/17/2022,2/20/2022,1/15/2024,0,1,664021,1752,1408,0,0,1,1,0
C100081,23.0,28233.0,3.0,1,2,7.0,1.0,Appear prove magazine old race charge participant. Several expert before record plan learn fill. Accident looks suspicious and documents seem tampered.,0,1,1,116476,3,76255,0,1/10/2023,10/19/2020,7/19/2023,3,1,758402,3154,158,2,1,1,0,4
C100082,21.0,22729.0,3.0,2,0,6.0,0.0,"Forget open heavy leave head fund.
Fast technology training parent value. Appear data forward near difficult physical step. Begin color and. Accident report and documentation verified.",0,1,0,32884,0,67457,1,6/7/2018,2/16/2023,7/9/2023,4,4,257434,3500,370,3,1,0,1,2
C100083,25.0,32131.0,1.0,2,2,2.0,0.0,Pick hard clearly bit dog ago report. General improve second explain. Accident report and documentation verified.,0,1,3,135104,0,36373,4,1/27/2018,2/10/2022,6/7/2023,0,1,811752,1119,1792,0,4,0,2,4
C100084,73.0,34870.0,3.0,0,1,2.0,0.0,Fund pass perform article. Science contain would yard deep main strategy party. Accident report and documentation verified.,1,4,8,47121,0,59403,2,7/5/2018,2/19/2022,4/8/2023,3,0,771359,619,1840,2,0,1,3,2
C100085,61.0,39011.0,3.0,1,1,2.0,0.0,Now really away foreign himself street. Because serious project girl reach public. Accident report and documentation verified.,1,1,1,67420,0,19295,4,12/14/2023,11/20/2023,5/14/2023,0,0,761152,4493,1613,2,4,2,1,3
C100086,23.0,40382.0,4.0,0,2,8.0,0.0,"Pick plan force talk. Dark score lawyer TV its including.
Continue usually to campaign left according. Market participant religious science. Accident report and documentation verified.",1,2,2,64700,2,23875,4,12/15/2023,11/19/2019,12/8/2023,0,3,547195,4601,1647,2,4,4,3,4
C100087,73.0,42475.0,4.0,2,0,7.0,0.0,Mind image camera about style people. Perhaps memory treat approach paper. Various well baby all company throw. Accident report and documentation verified.,1,3,5,38437,2,13137,2,10/22/2019,9/24/2019,1/14/2024,4,4,588549,2732,1916,0,4,4,1,2
C100088,48.0,47681.0,1.0,2,2,1.0,1.0,"Probably similar know address language.
Leave throw task up recognize PM prove. Clear yourself ability political listen start chair house. Accident looks suspicious and documents seem tampered.",1,0,0,69140,2,52809,1,7/7/2021,9/15/2022,7/17/2023,3,0,111311,2635,798,3,0,1,3,3
C100089,37.0,22607.0,0.0,2,2,4.0,0.0,Defense mean agreement beat compare. Themselves itself style expert population. Value because might campaign pressure most. Accident report and documentation verified.,1,4,8,39132,1,35797,1,8/24/2020,8/8/2023,10/11/2023,2,0,754520,797,1327,2,1,4,4,4
C100090,45.0,25968.0,3.0,2,1,4.0,0.0,"Simple future whether least bring key skill field. Sister else window. Late shoulder role best remain end.
Else huge with book. Accident report and documentation verified.",0,1,0,54523,3,84955,4,3/12/2018,11/8/2019,7/4/2023,0,2,846398,4742,1837,0,0,3,1,2
C100091,63.0,34398.0,0.0,0,0,7.0,0.0,Different work role author building financial. He represent major song money. Accident report and documentation verified.,1,1,5,77405,4,72614,2,12/19/2019,1/12/2020,2/12/2024,0,1,654092,1186,1767,2,1,3,2,3
C100092,53.0,12908.0,1.0,1,0,2.0,0.0,"Only cost general heavy imagine practice pick best.
Building affect how reduce operation spend. Issue card about beautiful down forward sign. Accident report and documentation verified.",1,4,5,118299,1,36728,3,8/24/2019,11/19/2021,4/25/2023,0,0,760317,4417,383,2,0,4,4,0
C100093,29.0,27423.0,1.0,0,0,4.0,0.0,Body type what worker degree officer. Across discuss anything idea. Past pull early whom. Accident report and documentation verified.,0,1,7,58401,3,36708,1,2/10/2020,1/23/2023,3/7/2023,4,4,885024,2175,308,3,4,3,0,4
C100094,55.0,44615.0,4.0,1,0,1.0,0.0,Action year town herself seat his. Agreement assume describe matter focus or number. Involve election pressure argue. Accident report and documentation verified.,1,2,7,85875,1,40222,0,12/17/2023,9/25/2022,2/15/2024,3,2,793941,1686,998,0,2,0,4,4
C100095,33.0,10171.0,3.0,2,1,4.0,0.0,Ready national the way where read. Bring country live. First vote any tough. Accident report and documentation verified.,1,0,7,125867,3,83245,0,4/18/2018,2/14/2023,7/15/2024,2,1,879195,733,1806,0,1,4,2,0
C100096,50.0,13721.0,2.0,1,0,1.0,0.0,Cultural art that effect say. Save say suffer scientist question. Accident report and documentation verified.,0,1,5,89518,3,87076,2,1/12/2022,6/24/2020,11/9/2023,1,2,612835,623,661,2,2,0,4,2
C100097,67.0,17616.0,1.0,2,0,2.0,0.0,Speech garden Republican us specific. Form very partner way save quality so. Accident report and documentation verified.,1,1,4,25667,0,60828,3,1/17/2022,6/23/2018,9/19/2023,0,4,50001,2909,1752,0,4,1,3,3
C100098,34.0,43512.0,3.0,0,0,2.0,1.0,Test model son force page. Baby clearly star dream quality paper per. Eat how relate Mr soon million national. Accident looks suspicious and documents seem tampered.,0,4,2,136314,2,25755,0,11/21/2020,6/1/2019,12/22/2024,0,3,362506,3566,1768,1,4,1,1,2
C100099,27.0,39458.0,0.0,1,1,3.0,0.0,"More security rate describe. Blood tax professional ok. Media total rich rate.
Lose matter how. Stage quite describe page hand tonight camera model. Accident report and documentation verified.",0,3,1,36403,3,32444,3,5/18/2018,7/5/2022,10/7/2024,0,1,451282,1136,1594,1,2,1,2,2
C100100,33.0,47169.0,4.0,0,1,8.0,1.0,School stock necessary lawyer able those natural day. Trouble return population religious. Accident looks suspicious and documents seem tampered.,1,2,0,86795,0,74851,3,4/15/2018,11/28/2022,7/4/2024,3,3,548503,3037,717,2,2,1,2,2
C100101,42.0,8659.0,0.0,2,0,6.0,0.0,"Technology might agree decide city. Suddenly record imagine actually shake society.
Five hair throw affect between. Expect close process early. Accident report and documentation verified.",1,1,8,28768,2,35592,2,10/24/2022,6/19/2019,2/5/2024,1,0,854247,4105,1363,1,3,3,3,4
C100102,79.0,44369.0,1.0,0,1,6.0,0.0,Material begin travel themselves myself trial. Director star gas. Accident report and documentation verified.,1,2,3,145982,1,92153,2,10/16/2022,1/24/2023,10/13/2023,3,3,209193,2780,399,1,0,2,3,2
C100103,76.0,12704.0,1.0,2,2,9.0,0.0,Let career group site clearly. In term social top. Wife reality fire any around international. Process thousand fact sign. Accident report and documentation verified.,1,0,1,25078,4,76451,1,4/4/2018,6/14/2023,2/27/2024,1,2,498692,2441,168,2,0,3,4,4
C100104,59.0,33793.0,0.0,2,0,8.0,1.0,Adult drop usually marriage minute. Nation including point strong list western join. Apply happen management training choose. Accident looks suspicious and documents seem tampered.,1,0,8,34173,3,88498,1,7/24/2018,7/4/2018,4/14/2023,2,2,95472,4298,923,1,3,3,0,0
C100105,40.0,49152.0,1.0,2,1,2.0,0.0,Create choose property kitchen mouth small. Interview magazine require free tough whom. Thousand father alone trial main democratic. Accident report and documentation verified.,0,1,8,106025,2,90317,2,12/8/2022,3/16/2021,4/4/2023,1,1,883566,3577,414,0,3,4,2,4
C100106,35.0,47473.0,3.0,0,0,6.0,0.0,Under agency deep always yeah officer price interesting. Huge run agree two country investment. Response customer black trip smile market night. Accident report and documentation verified.,1,3,0,135417,2,45722,1,3/26/2023,9/15/2018,12/2/2023,2,3,637511,1902,1393,2,1,2,1,4
C100107,64.0,32226.0,1.0,0,0,1.0,0.0,Authority should college operation program game exactly. Woman beat fact social. System play research serve. Accident report and documentation verified.,0,4,5,51132,0,84285,2,4/22/2022,9/12/2020,12/22/2024,0,0,151720,4520,1720,3,1,1,0,2
C100108,37.0,24852.0,4.0,1,1,9.0,0.0,Stage again should seek somebody others culture. Business win night fire western. College network and produce nothing hotel. Accident report and documentation verified.,1,3,5,122826,2,16240,1,6/28/2022,7/19/2022,5/28/2024,0,0,144440,1580,1895,1,0,3,4,0
C100109,66.0,33082.0,3.0,1,2,4.0,0.0,"Very trouble son risk couple. Well for training reach today carry husband.
She her son then action. Happy allow data letter service yard. Accident report and documentation verified.",1,0,7,136045,2,77534,2,6/17/2022,9/22/2019,6/25/2023,3,3,183676,3481,1788,2,0,0,2,2
C100110,72.0,23794.0,2.0,0,0,4.0,0.0,Single still short improve between see lead model. Wrong watch book item cup live most. Accident report and documentation verified.,0,1,0,101834,0,16877,1,12/4/2023,8/22/2018,12/24/2023,4,0,176445,4263,790,2,2,1,3,2
C100111,43.0,42420.0,1.0,0,2,9.0,0.0,Understand pressure involve me. None than hospital. Measure need lose everything do whatever. Accident report and documentation verified.,1,4,3,146046,0,86241,4,4/2/2019,8/27/2019,2/14/2023,0,0,164121,1757,582,0,2,3,1,2
C100112,45.0,14379.0,1.0,0,1,3.0,0.0,Future allow inside score building space. Structure this which common standard. Meet determine because author firm different those protect. Accident report and documentation verified.,0,1,7,122889,3,73624,2,11/12/2023,1/19/2020,9/9/2023,3,1,851601,2947,1426,1,4,1,0,4
C100113,44.0,8006.0,4.0,0,0,5.0,0.0,Technology reveal newspaper cause response like. Would happy industry lot. Accident report and documentation verified.,1,1,1,83525,1,41572,2,6/15/2022,10/10/2018,6/19/2023,1,0,586222,692,389,2,1,2,3,3
C100114,79.0,9682.0,4.0,2,1,1.0,0.0,Appear water laugh relationship give another usually. Learn majority give resource effect. Mission exist student great hotel. Accident report and documentation verified.,0,3,8,90591,1,49296,2,10/10/2023,5/14/2022,11/15/2024,1,0,828663,3556,1572,2,2,1,1,0
C100115,79.0,34840.0,0.0,2,1,6.0,0.0,But positive unit soldier somebody news clearly. Accident report and documentation verified.,0,0,8,74086,1,55672,0,9/2/2023,7/26/2018,4/13/2024,1,3,626894,3549,609,2,0,3,1,1
C100116,79.0,33430.0,0.0,2,1,3.0,0.0,Marriage first hot real option task relate. Pull agent move stuff money. Accident report and documentation verified.,0,3,1,100557,4,43602,0,11/7/2023,5/8/2023,1/27/2024,4,1,442549,4382,1859,1,4,2,1,3
C100117,64.0,24091.0,0.0,0,1,1.0,0.0,Game old writer cold. Approach cover not matter it politics. On radio inside late. Accident report and documentation verified.,0,1,4,56046,0,79544,4,7/2/2021,12/22/2022,3/24/2023,0,4,855523,3284,1759,2,3,2,3,0
C100118,60.0,33983.0,4.0,2,0,6.0,0.0,Clear end road former authority really present. Director lose thank eye these. Edge brother catch town society her source. Accident report and documentation verified.,1,1,7,68624,2,38289,4,1/14/2021,11/21/2018,7/19/2023,2,0,480980,1201,1940,2,4,4,3,0
C100119,48.0,24989.0,0.0,2,2,2.0,1.0,Day phone local career major sense. Ask executive time. Often blood near. Accident looks suspicious and documents seem tampered.,0,4,0,116008,1,13135,1,12/21/2021,4/27/2021,2/28/2024,4,4,772496,1939,1976,0,4,1,1,3
C100120,34.0,10915.0,0.0,1,2,8.0,0.0,Design argue listen firm. Performance responsibility those during environment scene system. Accident report and documentation verified.,1,0,8,52823,0,76324,2,7/22/2020,8/8/2021,1/24/2023,3,3,875673,1585,1912,2,0,3,2,2
C100121,64.0,43552.0,2.0,1,0,2.0,0.0,Cover power research option. Notice know appear major machine model. Accident report and documentation verified.,1,3,5,102179,2,69644,3,7/1/2020,11/9/2020,11/19/2024,0,0,340804,4257,1093,3,1,0,0,3
C100122,20.0,19990.0,0.0,2,0,4.0,0.0,Interesting contain record line Mrs win those difference. Accident report and documentation verified.,1,4,3,77719,3,18855,0,10/6/2021,2/12/2020,4/17/2023,0,3,856807,1488,1393,3,1,2,2,4
C100123,44.0,25734.0,1.0,2,2,3.0,0.0,Include term within water three. There Mrs Mrs very wind wall improve. Mean operation eight place argue simple town. Accident report and documentation verified.,1,0,8,28246,2,16312,2,5/16/2022,5/18/2019,9/10/2024,2,2,74041,4253,432,1,4,1,3,1
C100124,26.0,15824.0,4.0,2,2,9.0,0.0,Message door federal its. Ask every election. Mother director plan mouth law key own. Accident report and documentation verified.,1,1,4,74841,0,60345,3,4/14/2018,9/21/2018,3/5/2024,1,3,346643,4485,1636,0,0,2,4,3
C100125,28.0,37081.0,3.0,0,0,2.0,0.0,Consumer city adult establish Mrs goal walk. Everybody various across but why nothing huge. Fact source nearly whole. Accident report and documentation verified.,0,3,4,49791,2,17261,2,1/16/2021,2/6/2021,11/2/2023,0,2,968137,787,1731,0,0,2,3,4
C100126,43.0,12033.0,2.0,1,1,3.0,1.0,West military time financial. Foot oil measure teach someone fast green. Accident looks suspicious and documents seem tampered.,0,3,4,143941,3,27650,4,9/27/2022,3/12/2022,4/15/2024,3,2,698698,3083,1773,0,4,0,4,0
C100127,20.0,43736.0,4.0,1,0,7.0,0.0,Work back become seven against wrong matter. Improve minute poor hair popular view instead tough. Million remain decade it south life whose. Accident report and documentation verified.,0,1,0,144154,4,93855,1,8/2/2021,3/17/2019,7/5/2024,4,1,189806,3560,184,0,1,4,3,3
C100128,63.0,17241.0,4.0,1,2,4.0,0.0,Organization find trial community political me believe. Necessary less million poor sure cost. Accident report and documentation verified.,1,3,1,141120,2,11316,4,4/19/2021,5/7/2021,9/15/2024,3,4,147630,1798,685,2,3,0,2,4
C100129,27.0,6939.0,1.0,2,1,6.0,0.0,Line far up industry east. Future pick short learn conference. Accident report and documentation verified.,0,0,3,89231,0,41438,1,10/21/2022,8/22/2019,9/16/2024,2,0,153575,4297,1943,1,4,3,1,4
C100130,43.0,48464.0,0.0,0,2,3.0,0.0,Matter door energy order down condition total decide. Camera common exist. Accident report and documentation verified.,1,3,4,144780,3,77444,3,12/8/2018,7/19/2019,1/6/2024,1,2,688709,4387,1380,1,1,1,2,4
C100131,30.0,48562.0,1.0,1,1,1.0,0.0,Congress happen thing threat. Ahead court book huge test drug start. Fast sea measure ball leg. Accident report and documentation verified.,0,2,6,34692,3,96732,1,10/1/2020,1/26/2019,12/17/2024,3,1,214966,1202,157,1,4,1,1,0
C100132,70.0,36063.0,0.0,1,2,6.0,1.0,Will save staff reflect score address pattern rise. Degree interest rich action. Accident looks suspicious and documents seem tampered.,1,0,8,141194,0,79735,1,4/17/2018,7/8/2020,4/28/2024,0,4,497429,4279,1457,0,0,4,1,1
C100133,36.0,35464.0,0.0,0,1,4.0,0.0,"Interest learn involve raise baby discover six. Agency medical two allow even.
Less director difference own. Standard want nice thank company stock. Accident report and documentation verified.",1,4,3,134612,4,14186,3,12/23/2020,10/28/2018,7/18/2024,2,0,515461,2918,1847,0,4,0,1,2
